emp_no,dept_name,first_name,last_name,birth_date,from_date,to_date,title
20313,Production,Candida,Benveniste,1965-01-24,1999-01-20,9999-01-01,Engineer
20500,Customer Service,Christoph,Trystram,1965-01-30,1993-10-15,9999-01-01,Staff
20885,Production,Otmar,Rothenberg,1965-01-21,1989-03-14,9999-01-01,Engineer
21181,Production,Jianhui,Cangellaris,1965-01-21,1991-10-06,9999-01-01,Engineer
21188,Development,Piyush,Danecki,1965-01-21,2000-01-08,9999-01-01,Engineer
21546,Marketing,Yongmin,Lanteri,1965-01-01,2002-03-19,9999-01-01,Senior Staff
21843,Development,Karsten,Azadmanesh,1965-01-09,1985-11-29,9999-01-01,Senior Engineer
21909,Sales,Mohammed,Brizzi,1965-01-04,1991-12-28,9999-01-01,Senior Staff
22185,Production,Huai,Birch,1965-01-29,2002-06-12,9999-01-01,Engineer
22415,Sales,Perla,Jumpertz,1965-01-20,1994-08-24,9999-01-01,Senior Staff
22451,Development,Jasminko,Bresenham,1965-01-27,1994-01-19,9999-01-01,Staff
22455,Marketing,Barry,Unno,1965-01-06,1990-11-16,9999-01-01,Senior Staff
22926,Production,Manibrata,Genther,1965-01-01,1988-01-15,9999-01-01,Engineer
23396,Production,Hilari,Fairtlough,1965-01-02,1986-12-15,9999-01-01,Technique Leader
24080,Development,Jaana,Perez,1965-01-26,1996-03-11,9999-01-01,Technique Leader
24205,Development,Roddy,Rubsam,1965-01-25,1993-09-19,9999-01-01,Senior Engineer
24377,Quality Management,Lubomir,Wroclawski,1965-01-25,1993-07-25,9999-01-01,Engineer
24394,Sales,Zhonghui,Conta,1965-01-04,1994-09-10,9999-01-01,Staff
24553,Sales,Anwar,Passafiume,1965-01-12,1987-01-30,9999-01-01,Staff
24571,Production,Cordelia,Gischer,1965-01-20,1989-03-14,9999-01-01,Senior Engineer
25488,Research,Ingmar,Basawa,1965-01-19,1991-11-09,9999-01-01,Staff
26629,Research,Nevin,Rodham,1965-01-28,1998-12-14,9999-01-01,Senior Staff
26671,Development,Jiakeng,Kalorkoti,1965-01-21,1994-12-25,9999-01-01,Engineer
26788,Development,Zongyan,Dalphin,1965-01-25,1988-04-23,9999-01-01,Senior Engineer
27331,Customer Service,Wanqing,Krohm,1965-01-19,1991-01-22,9999-01-01,Staff
27378,Finance,Piyawadee,Leppanen,1965-01-28,1999-02-25,9999-01-01,Senior Staff
27620,Production,Shuji,Kandlur,1965-01-25,1990-03-02,9999-01-01,Senior Engineer
27686,Sales,Manu,Rosiles,1965-01-28,1998-03-03,9999-01-01,Senior Staff
27699,Production,Falguni,Pezzoli,1965-01-15,1996-12-23,9999-01-01,Engineer
27767,Customer Service,Tooru,Veldwijk,1965-01-27,1993-11-21,9999-01-01,Staff
28193,Development,Xinglin,Mitsuhashi,1965-01-29,1988-12-14,9999-01-01,Senior Engineer
28974,Development,Chenxi,Sundgren,1965-01-09,1986-09-02,9999-01-01,Senior Engineer
28988,Production,Tua,Giveon,1965-01-18,1998-09-09,9999-01-01,Technique Leader
29130,Marketing,Xumin,Thorensen,1965-01-06,1998-04-26,9999-01-01,Staff
29265,Customer Service,Gilbert,Calkin,1965-01-14,1988-03-21,9999-01-01,Staff
29380,Production,Satoru,Vidal,1965-01-30,1998-05-02,9999-01-01,Assistant Engineer
29418,Production,Valery,Mersereau,1965-01-22,1998-07-01,9999-01-01,Assistant Engineer
29679,Development,Kolar,Steenbeek,1965-01-17,1986-10-18,9999-01-01,Senior Engineer
29782,Production,Jouko,Hellwagner,1965-01-29,2000-10-23,9999-01-01,Senior Engineer
29954,Production,Pranay,Giarratana,1965-01-27,1992-09-29,9999-01-01,Senior Engineer
30007,Production,Kousuke,Vecchio,1965-01-24,1990-02-23,9999-01-01,Senior Engineer
30035,Research,Tetsushi,Conta,1965-01-08,1995-07-04,9999-01-01,Senior Staff
30154,Development,Mayuko,Skafidas,1965-01-26,1999-04-19,9999-01-01,Technique Leader
30182,Development,Leon,Potthoff,1965-01-26,1985-12-08,9999-01-01,Senior Engineer
30465,Development,Randi,Avouris,1965-01-28,1986-07-16,9999-01-01,Engineer
30484,Sales,Sailaja,Chvatal,1965-01-11,1999-05-18,9999-01-01,Staff
30695,Development,Gudjon,Majewski,1965-01-08,1999-10-26,9999-01-01,Senior Engineer
30938,Marketing,Yakkov,Samarati,1965-01-06,1997-10-10,9999-01-01,Staff
31147,Finance,Divine,Sidhu,1965-01-04,1989-07-05,9999-01-01,Senior Staff
31188,Production,Leandro,Gist,1965-01-12,1993-02-03,9999-01-01,Technique Leader
31207,Production,Abdelwaheb,Dulin,1965-01-30,1993-08-05,9999-01-01,Senior Engineer
31341,Finance,Oksana,Zultner,1965-01-01,1991-03-23,9999-01-01,Senior Staff
31514,Development,Harngdar,Schapire,1965-01-13,1996-11-09,9999-01-01,Senior Engineer
31568,Marketing,Mark,Lalonde,1965-01-10,1996-11-24,9999-01-01,Staff
31909,Production,Murthy,Peek,1965-01-10,2000-10-30,9999-01-01,Engineer
32347,Marketing,Terresa,Peres,1965-01-08,1990-09-15,9999-01-01,Staff
32552,Development,Atreye,Stanger,1965-01-17,1993-09-10,9999-01-01,Engineer
32649,Research,Ingmar,Nannarelli,1965-01-12,1988-06-10,9999-01-01,Senior Staff
32714,Marketing,Radoslaw,Maliniak,1965-01-16,2001-09-18,9999-01-01,Staff
32844,Development,Tadahiko,Melton,1965-01-23,1995-01-07,9999-01-01,Engineer
33025,Customer Service,Jessie,Thorelli,1965-01-12,1999-12-16,9999-01-01,Senior Staff
33215,Production,Steen,Fasbender,1965-01-29,1993-02-14,9999-01-01,Technique Leader
33722,Research,Anwar,Collette,1965-01-15,2001-02-03,9999-01-01,Senior Engineer
34077,Sales,Angel,Sichman,1965-01-08,1988-11-16,9999-01-01,Staff
34261,Human Resources,Kyoichi,Callaway,1965-01-05,1990-12-30,9999-01-01,Staff
34446,Development,Chinhyun,Bauknecht,1965-01-31,1986-12-19,9999-01-01,Senior Engineer
34452,Production,Naftaly,Foong,1965-01-08,1991-05-10,9999-01-01,Senior Engineer
34505,Sales,Felicidad,Kumaresan,1965-01-28,1994-09-06,9999-01-01,Staff
34533,Quality Management,Erzsebet,Shigei,1965-01-10,1995-01-16,9999-01-01,Senior Engineer
34780,Sales,Moni,Kohling,1965-01-16,2001-09-18,9999-01-01,Staff
34788,Production,Ennio,Babu,1965-01-27,1994-08-31,9999-01-01,Senior Engineer
34936,Production,Bokyung,Stamatiou,1965-01-12,1991-02-12,9999-01-01,Technique Leader
35044,Production,Jiang,Waschkowski,1965-01-04,1989-05-27,9999-01-01,Senior Engineer
35087,Customer Service,Leif,Ashish,1965-01-17,1994-10-14,9999-01-01,Staff
35441,Research,Chandrasekaran,Peek,1965-01-31,1990-09-17,9999-01-01,Senior Engineer
35642,Quality Management,Ashish,Talmon,1965-01-30,1999-02-28,9999-01-01,Senior Engineer
35793,Customer Service,Oscar,Kusalik,1965-01-01,1991-05-11,9999-01-01,Senior Staff
35798,Development,Ulf,Oberman,1965-01-29,1997-03-15,9999-01-01,Senior Engineer
36521,Finance,Serif,Gladwell,1965-01-21,1987-03-06,9999-01-01,Senior Staff
36626,Sales,Fen,Genin,1965-01-02,1986-05-09,9999-01-01,Senior Staff
36733,Customer Service,Uma,Reinhard,1965-01-04,1997-11-01,9999-01-01,Staff
36844,Customer Service,Hailing,Levergood,1965-01-01,2000-01-12,9999-01-01,Staff
36982,Quality Management,Kotesh,Rajala,1965-01-22,1992-06-23,9999-01-01,Senior Engineer
37070,Customer Service,Jeong,Undy,1965-01-22,1985-02-13,9999-01-01,Staff
37945,Development,Suzette,Butterworth,1965-01-02,1994-02-19,9999-01-01,Senior Engineer
38043,Development,Michaela,Randi,1965-01-05,1985-11-23,9999-01-01,Senior Engineer
38103,Production,Masasuke,Babu,1965-01-12,1988-03-31,9999-01-01,Senior Engineer
38168,Sales,Fumiko,Deverell,1965-01-14,1987-08-15,9999-01-01,Staff
38550,Quality Management,JoAnne,Baez,1965-01-14,1987-02-16,9999-01-01,Senior Engineer
38593,Production,Huei,Orsini,1965-01-14,1986-06-04,9999-01-01,Senior Engineer
38947,Marketing,Shuichi,Ruemmler,1965-01-25,1998-04-08,9999-01-01,Senior Staff
39000,Research,Martijn,Vendrig,1965-01-08,1997-03-03,9999-01-01,Senior Staff
39036,Human Resources,Changho,Cappelli,1965-01-08,1996-05-04,9999-01-01,Staff
39301,Research,Rimon,Kawashima,1965-01-07,1992-02-06,9999-01-01,Staff
39341,Production,Mahmut,Lampe,1965-01-01,1985-05-11,9999-01-01,Senior Engineer
39952,Sales,Otmar,Sudbeck,1965-01-02,1998-07-22,9999-01-01,Staff
40269,Sales,Toshiki,Ghazalie,1965-01-10,1991-12-05,9999-01-01,Staff
40283,Development,Sudhanshu,Boissier,1965-01-07,1985-05-11,9999-01-01,Engineer
40301,Customer Service,Spyrose,Felder,1965-01-20,1997-10-20,9999-01-01,Senior Engineer
40536,Development,Harngdar,Bernardinello,1965-01-20,1988-02-29,9999-01-01,Senior Engineer
40765,Research,Michaela,Ramsak,1965-01-01,1992-12-21,9999-01-01,Senior Staff
40773,Customer Service,Shimshon,Aingworth,1965-01-09,1986-04-13,9999-01-01,Senior Staff
40983,Development,Marla,Cherinka,1965-01-17,1986-12-01,9999-01-01,Technique Leader
41114,Production,Petter,Thummel,1965-01-25,1995-12-24,9999-01-01,Technique Leader
41137,Customer Service,Bikash,Buchter,1965-01-20,1996-01-08,9999-01-01,Staff
41357,Development,Willard,Vernadat,1965-01-06,1997-03-04,9999-01-01,Engineer
41518,Production,Keung,Schapiro,1965-01-11,2001-02-08,9999-01-01,Senior Engineer
41520,Development,Xiong,Uhrik,1965-01-20,1988-03-21,9999-01-01,Senior Engineer
41609,Sales,Yucai,Simmen,1965-01-04,1987-10-13,9999-01-01,Senior Staff
42778,Human Resources,Shuji,Remmers,1965-01-19,1987-12-18,9999-01-01,Staff
42911,Production,Brigham,Eterovic,1965-01-29,1994-10-08,9999-01-01,Engineer
42950,Research,Shaleah,Eickenmeyer,1965-01-22,1993-10-09,9999-01-01,Senior Staff
42955,Quality Management,Yucel,Lortz,1965-01-12,1995-02-21,9999-01-01,Engineer
43154,Finance,Maha,Waterhouse,1965-01-13,1997-07-04,9999-01-01,Staff
43733,Human Resources,Huei,Boguraev,1965-01-26,1993-12-31,9999-01-01,Senior Staff
43848,Production,Phillip,Oxenboll,1965-01-11,1999-05-26,9999-01-01,Engineer
44054,Development,Alenka,Ritcey,1965-01-18,1997-02-09,9999-01-01,Engineer
44265,Development,Maria,Eppinger,1965-01-24,1997-01-30,9999-01-01,Engineer
44540,Development,Mingzeng,Sadowski,1965-01-16,1989-11-12,9999-01-01,Senior Engineer
44900,Marketing,Mark,Schwaller,1965-01-05,1994-08-10,9999-01-01,Senior Staff
44959,Production,Volkmar,Uhrik,1965-01-21,1988-01-16,9999-01-01,Senior Engineer
44962,Development,Sariel,Wynblatt,1965-01-16,1996-05-18,9999-01-01,Assistant Engineer
45162,Development,Dulce,Speel,1965-01-11,1987-10-19,9999-01-01,Engineer
46000,Customer Service,Zhaofang,Penn,1965-01-26,1997-07-24,9999-01-01,Staff
46328,Sales,Wuxu,Trogemann,1965-01-05,1997-01-27,9999-01-01,Senior Staff
46811,Production,Junsik,Berendt,1965-01-10,1988-04-27,9999-01-01,Senior Engineer
46834,Sales,Tooru,Daescu,1965-01-22,1998-03-20,9999-01-01,Senior Staff
46943,Development,Pasqua,Maraist,1965-01-31,1993-12-06,9999-01-01,Engineer
47016,Customer Service,Toong,Litecky,1965-01-03,1989-03-01,9999-01-01,Staff
47139,Development,Marco,Usdin,1965-01-25,1996-10-29,9999-01-01,Engineer
47262,Development,Gonzalo,Binkley,1965-01-10,1985-08-16,9999-01-01,Senior Engineer
47515,Development,Naraig,Jenevein,1965-01-26,1987-01-18,9999-01-01,Senior Engineer
47702,Sales,Juyoung,Vieri,1965-01-21,1991-08-12,9999-01-01,Staff
47708,Marketing,Edwin,Haldar,1965-01-05,1995-07-12,9999-01-01,Senior Staff
48275,Sales,Sariel,Massonet,1965-01-29,1987-11-20,9999-01-01,Staff
48690,Human Resources,Hitomi,Schaap,1965-01-12,1999-09-27,9999-01-01,Staff
48882,Production,Leen,Lamparter,1965-01-28,1993-06-07,9999-01-01,Senior Engineer
48904,Finance,Yuichiro,Malabarba,1965-01-23,1994-03-07,9999-01-01,Staff
48947,Sales,Filipp,Akaboshi,1965-01-05,1992-05-20,9999-01-01,Senior Staff
49010,Marketing,Kazuhisa,Benantar,1965-01-16,1990-03-30,9999-01-01,Senior Staff
49017,Development,Filipp,Flanders,1965-01-07,1990-11-26,9999-01-01,Senior Engineer
49119,Production,Lena,Peek,1965-01-09,1991-05-16,9999-01-01,Senior Engineer
49177,Production,Tze,Bach,1965-01-03,1999-03-09,9999-01-01,Engineer
49464,Sales,Siddarth,Cappelletti,1965-01-14,1999-09-10,9999-01-01,Staff
49477,Human Resources,Baocai,Leaver,1965-01-14,1998-08-05,9999-01-01,Senior Staff
50293,Production,Xinan,Rindone,1965-01-26,1996-10-08,9999-01-01,Engineer
50311,Quality Management,Mooi,Stafford,1965-01-24,1996-10-06,9999-01-01,Senior Engineer
50453,Finance,Aron,Harbusch,1965-01-12,1997-10-02,9999-01-01,Staff
50670,Marketing,Boguslaw,Snedden,1965-01-30,1985-02-20,9999-01-01,Staff
50831,Production,Marie,Khalid,1965-01-06,1996-06-11,9999-01-01,Senior Engineer
51036,Sales,Chriss,Fasbender,1965-01-29,1995-05-23,9999-01-01,Staff
51057,Marketing,Theirry,Albarhamtoshy,1965-01-29,1991-09-27,9999-01-01,Staff
51060,Development,Youngkon,Rohrbach,1965-01-15,1989-10-20,9999-01-01,Senior Engineer
51142,Development,Rosine,Lakshmanan,1965-01-29,1986-01-31,9999-01-01,Senior Engineer
52038,Production,Chikako,Armand,1965-01-13,1985-05-18,9999-01-01,Senior Engineer
52040,Development,Phule,Heijenga,1965-01-14,1996-12-08,9999-01-01,Staff
52283,Research,Trygve,Krupka,1965-01-20,1994-03-11,9999-01-01,Staff
52386,Sales,Adas,Denti,1965-01-28,1986-05-30,9999-01-01,Senior Staff
52590,Development,Jouni,Munoz,1965-01-21,1996-10-07,9999-01-01,Staff
52599,Customer Service,Augustine,Mungall,1965-01-25,1994-01-13,9999-01-01,Senior Engineer
52639,Sales,Arup,Colorni,1965-01-09,1996-02-05,9999-01-01,Senior Staff
52770,Sales,Shugo,Yurek,1965-01-31,1992-08-28,9999-01-01,Staff
52778,Quality Management,Alain,Penn,1965-01-15,1986-05-03,9999-01-01,Technique Leader
52956,Quality Management,Khalil,Picci,1965-01-31,1998-11-24,9999-01-01,Senior Engineer
52970,Production,Lobel,Werthner,1965-01-22,1988-03-17,9999-01-01,Senior Engineer
53278,Sales,Premsyl,Lortz,1965-01-31,1993-02-01,9999-01-01,Staff
53314,Research,Eberhardt,Carrera,1965-01-06,1999-02-23,9999-01-01,Staff
53431,Customer Service,Sham,Vasanthakumar,1965-01-12,1993-05-24,9999-01-01,Senior Staff
53499,Production,Zdislav,Mandelberg,1965-01-20,1994-09-11,9999-01-01,Senior Engineer
53597,Development,Jiafu,Marchegay,1965-01-30,1985-03-02,9999-01-01,Senior Engineer
53874,Marketing,Bodo,Schade,1965-01-23,1986-02-14,9999-01-01,Staff
53924,Production,Arnould,Gaughan,1965-01-27,1991-01-23,9999-01-01,Engineer
54198,Development,Shaowen,Segond,1965-01-01,1986-01-06,9999-01-01,Senior Engineer
54632,Finance,Etsuo,Serot,1965-01-19,1989-06-14,9999-01-01,Senior Staff
54795,Production,Sumant,Nergos,1965-01-29,1994-03-02,9999-01-01,Senior Staff
54800,Sales,Breannda,Cangellaris,1965-01-13,2000-01-27,9999-01-01,Staff
55640,Production,Adit,Syrotiuk,1965-01-25,1993-07-16,9999-01-01,Engineer
55687,Development,Shih,Lindqvist,1965-01-02,1995-03-29,9999-01-01,Senior Engineer
55799,Production,Jianwen,Litzler,1965-01-23,1987-06-17,9999-01-01,Senior Engineer
55857,Sales,Adin,Scallan,1965-01-18,1987-09-15,9999-01-01,Staff
56105,Development,Makato,Remmers,1965-01-11,1989-04-16,9999-01-01,Engineer
56209,Production,Remzi,Douceur,1965-01-19,1992-12-01,9999-01-01,Senior Engineer
56415,Finance,Sigeru,Nivat,1965-01-30,1991-10-24,9999-01-01,Staff
56428,Sales,Olivera,Hanabata,1965-01-27,1986-11-10,9999-01-01,Staff
56682,Development,Roded,Picco,1965-01-28,1993-11-06,9999-01-01,Assistant Engineer
56829,Quality Management,Nagui,Gruenwald,1965-01-09,1997-06-14,9999-01-01,Engineer
56847,Quality Management,Menkae,Chinin,1965-01-14,1998-08-27,9999-01-01,Senior Engineer
57934,Development,Sanjoy,Boudaillier,1965-01-25,1989-12-27,9999-01-01,Engineer
58141,Finance,Bezalel,Karner,1965-01-05,1994-09-27,9999-01-01,Staff
58147,Marketing,Shigenori,Sullins,1965-01-09,1988-02-24,9999-01-01,Senior Staff
58384,Development,Mariusz,Vural,1965-01-22,1993-11-14,9999-01-01,Senior Engineer
58454,Production,Ziya,Zambonelli,1965-01-25,1999-06-29,9999-01-01,Engineer
58497,Marketing,Yechiam,Cairo,1965-01-22,2000-10-21,9999-01-01,Senior Staff
58819,Sales,Gennady,Liesche,1965-01-04,1987-12-02,9999-01-01,Senior Staff
58990,Development,Palash,Trelles,1965-01-04,1998-11-18,9999-01-01,Engineer
59195,Development,Ronnie,Pollock,1965-01-08,1990-06-19,9999-01-01,Technique Leader
59640,Finance,Zita,Hiltgen,1965-01-18,1999-01-26,9999-01-01,Staff
59869,Marketing,Zsolt,Riefers,1965-02-01,1987-09-25,9999-01-01,Senior Staff
59966,Production,Steen,Salvesen,1965-01-28,1993-02-03,9999-01-01,Technique Leader
60000,Development,Heekeun,Emmart,1965-01-16,1995-09-23,9999-01-01,Engineer
60091,Customer Service,Surveyors,Bade,1965-02-01,1990-04-11,9999-01-01,Staff
60238,Marketing,Erzsebet,Claffy,1965-01-23,1999-02-19,9999-01-01,Staff
60559,Production,Jeanna,Stemann,1965-01-19,1988-08-29,9999-01-01,Engineer
60821,Human Resources,Moty,Mersereau,1965-01-02,1991-09-03,9999-01-01,Senior Staff
60845,Production,Bedir,Siegrist,1965-01-14,1997-05-13,9999-01-01,Engineer
60875,Quality Management,Rildo,Masaki,1965-01-21,1990-01-14,9999-01-01,Senior Engineer
60959,Marketing,Tetsushi,Sridhar,1965-01-09,1989-10-19,9999-01-01,Senior Staff
61147,Marketing,Leszek,Werthner,1965-01-30,1999-03-03,9999-01-01,Staff
61253,Research,Cheong,Uhrik,1965-01-09,2002-05-09,9999-01-01,Senior Engineer
61377,Production,Dannz,Ohori,1965-01-01,1997-04-13,9999-01-01,Senior Staff
61541,Development,Kasidit,Papsdorf,1965-01-08,1993-08-17,9999-01-01,Senior Engineer
61873,Quality Management,Woody,Rusmann,1965-01-19,1993-02-26,9999-01-01,Assistant Engineer
62033,Production,Heeju,Cappelli,1965-01-24,1987-01-15,9999-01-01,Engineer
62046,Production,Karlis,Nanard,1965-01-31,1992-09-19,9999-01-01,Senior Engineer
62245,Development,Adel,Bressoud,1965-01-01,1995-08-30,9999-01-01,Engineer
63294,Production,Tetsushi,Tanemo,1965-01-23,1997-03-01,9999-01-01,Engineer
63419,Production,Hiroyasu,Seuren,1965-01-14,1989-03-05,9999-01-01,Senior Engineer
63441,Human Resources,Hinrich,Scallan,1965-01-15,1999-04-04,9999-01-01,Staff
63566,Sales,Heekeun,Slaats,1965-01-31,1999-01-12,9999-01-01,Senior Staff
63631,Customer Service,Falguni,Cherinka,1965-01-22,1987-10-15,9999-01-01,Senior Engineer
63706,Development,Sedat,Itzigehl,1965-01-26,1997-07-31,9999-01-01,Engineer
64023,Development,Laurentiu,Benzmuller,1965-01-11,1999-11-08,9999-01-01,Senior Engineer
64209,Customer Service,Golgen,Schoegge,1965-01-24,1988-02-26,9999-01-01,Senior Staff
64487,Quality Management,Tsutomu,Rebaine,1965-01-27,1986-09-17,9999-01-01,Senior Engineer
64532,Production,Atilio,Segond,1965-01-23,1990-11-29,9999-01-01,Engineer
64632,Sales,Zsolt,Brender,1965-01-07,1996-02-21,9999-01-01,Senior Staff
64790,Development,Shin,Piveteau,1965-01-29,1985-04-19,9999-01-01,Senior Engineer
64828,Sales,Krister,Pappas,1965-01-27,1999-09-30,9999-01-01,Staff
64984,Quality Management,Eldridge,Eldridge,1965-01-06,1994-08-04,9999-01-01,Senior Engineer
65171,Production,Jeane,Tasistro,1965-01-25,1994-07-06,9999-01-01,Technique Leader
65539,Development,Aksel,Picaronny,1965-01-23,1991-01-27,9999-01-01,Engineer
65883,Sales,Patricia,Pepe,1965-01-07,1991-04-19,9999-01-01,Staff
65998,Sales,Mandell,Alameldin,1965-01-09,1989-04-08,9999-01-01,Staff
66382,Production,Domenico,Candan,1965-01-04,1997-07-13,9999-01-01,Engineer
66530,Research,Dung,Leaver,1965-01-29,1998-04-04,9999-01-01,Staff
66643,Production,Jianhao,Tomescu,1965-01-18,1996-08-26,9999-01-01,Engineer
66702,Development,Deniz,Thibadeau,1965-02-01,1994-09-27,9999-01-01,Engineer
66757,Marketing,Yonghong,Baig,1965-01-16,1999-04-10,9999-01-01,Staff
66807,Development,Aiman,Rosaz,1965-01-21,1990-05-22,9999-01-01,Senior Engineer
67320,Marketing,Sadok,Lorys,1965-01-18,1987-05-10,9999-01-01,Senior Staff
67548,Human Resources,Fumitaka,Roohalamini,1965-01-11,1998-06-27,9999-01-01,Staff
67934,Production,Aiman,Gargeya,1965-01-07,1985-03-07,9999-01-01,Senior Engineer
68416,Production,Munenori,Debuse,1965-01-27,1990-11-08,9999-01-01,Senior Engineer
68608,Production,Yucai,Seghrouchni,1965-01-26,1989-06-09,9999-01-01,Senior Engineer
68633,Production,Chinhyun,Rassart,1965-01-28,1993-07-29,9999-01-01,Senior Engineer
68648,Development,Jaques,DiGiano,1965-01-25,1992-04-01,9999-01-01,Technique Leader
69052,Sales,Shietung,Shrader,1965-01-26,1995-08-05,9999-01-01,Senior Staff
69219,Marketing,Shuky,Redmiles,1965-01-09,1994-11-19,9999-01-01,Senior Staff
69867,Sales,Miyeon,Rothe,1965-01-22,1991-04-09,9999-01-01,Staff
69878,Development,Chinya,Cooke,1965-01-24,1997-01-29,9999-01-01,Engineer
69936,Production,Lalit,Unni,1965-01-23,1999-01-31,9999-01-01,Assistant Engineer
70469,Marketing,Tru,Miyakawa,1965-01-12,1990-09-03,9999-01-01,Senior Staff
70990,Production,Arumugam,Nitta,1965-01-22,1990-03-23,9999-01-01,Senior Engineer
71066,Sales,Domenick,Basart,1965-01-27,1996-01-05,9999-01-01,Senior Staff
71141,Human Resources,Sajjad,Vitiello,1965-01-02,1992-02-17,9999-01-01,Senior Staff
71188,Sales,Pranjal,Schapiro,1965-01-02,1986-12-14,9999-01-01,Staff
71243,Production,Kinh,Buchter,1965-01-10,1986-03-29,9999-01-01,Senior Engineer
71334,Research,Cathie,Peck,1965-01-15,2001-03-04,9999-01-01,Engineer
71685,Production,Kristinn,Olano,1965-01-01,1989-10-03,9999-01-01,Senior Engineer
71710,Development,Hitomi,Takanami,1965-01-31,1997-12-15,9999-01-01,Assistant Engineer
71745,Development,Adil,Laventhal,1965-01-02,1992-05-13,9999-01-01,Assistant Engineer
72190,Development,Sajjad,Waeselynck,1965-01-19,1999-09-13,9999-01-01,Engineer
72194,Production,Feiyu,Siepmann,1965-01-26,1998-10-01,9999-01-01,Senior Engineer
72232,Quality Management,Naraig,Veldwijk,1965-01-10,1989-07-10,9999-01-01,Senior Engineer
72640,Quality Management,Honglan,Hutton,1965-01-24,1993-10-04,9999-01-01,Senior Engineer
72918,Sales,Takahira,Szilard,1965-01-22,1988-01-16,9999-01-01,Staff
73076,Development,Froduald,Feldhoffer,1965-01-22,1993-03-16,9999-01-01,Senior Engineer
73233,Production,Shigeo,Merey,1965-01-15,1985-07-30,9999-01-01,Senior Engineer
